Product Name,Quantity,Price
Shrimp Bagda (12-18 pcs),500 gm,৳ 419
Shrimp Horina (30 - 40 pcs),500 gm,৳ 299
Telapia Fish 3/4 pcs (Net Weight After Cutting ± 50 gm),500 gm,৳ 119
Koi Fish 10/12 pcs (After Cutting Net Weight ± 50 Gm),1 kg,৳ 239
Baila Fish,500 gm,৳ 375
Shrimp Golda (10-15 pcs),500 gm,৳ 379
Deshi Pangas (Net Weight ±50 gm),1.5 kg,৳ 219
Rui Fish Steak Family Cut (Net Weight ± 50 Gm),1 kg,৳ 449
Rui Fish Steak Chinese Cut (Net Weight ± 50 Gm),1.5 kg,৳ 699
Deshi Mola Fish,250 gm,৳ 99
Tatkini Fish,500 gm,৳ 159
Pabda Fish,400 gm,৳ 499
Shing Fish (After Cutting),500 gm,৳ 309
Basa Dory Fish Fillet,1 kg,৳ 580
Tengra Fish Deshi,400 gm,৳ 305
Prawn Headless (25/30 pcs),500 gm,৳ 600
Whole Frozen Hilsha (Net Weight ± 50 gm),1 kg,"৳ 1,200"
Poa Fish,500 gm,৳ 330
Kaski Fish,500 gm,৳ 259
Baim Fish Medium,500 gm,৳ 399
Whole Frozen Hilsha (Net Weight ± 50 Gm),900 gm,"৳ 1,100"
Tilapia Fillet,500 gm,৳ 730
