Product Name,Quantity,Price
Malta (Net Weight ± 50 gm),2 kg,৳ 400
Banana Chompa,12 pcs,৳ 59
Malta (Net Weight ± 50 gm),1 kg,৳ 200
Guava Thai (Net Weight ± 50 gm),1 kg,৳ 79
Pineapple,each,৳ 59
Green Coconut (Daab),each,৳ 69
Green Apple (Net Weight ± 50 gm),1 kg,৳ 179
Red Grapes,250 gm,৳ 79
Banana Sagor,12 pcs,৳ 119
Pomelo Fruit (Jambura),each,৳ 65
Pomegranate (Net Weight ± 50 gm),700 gm,৳ 229
Paka Pape (Net Weight ± 50 gm),1 kg,৳ 99
Orange,1 kg,৳ 169
Pear (Nashpati) Net Weight (± 30 gm),500 gm,৳ 109
Gala Apple (Net Weight ± 50 gm),1 kg,৳ 209
Hog Plum (Amra) (Net Weight ± 50 Gm),1 kg,৳ 79
Banana Sobri,12 pcs,৳ 119
Coconut,each,৳ 69
China Fuji Apple (Net Weight ± 50 gm),1 kg,৳ 169
Pear Red (Nashpati) Net Weight (± 30 gm),500 gm,৳ 159
Amla (Amloki),250 gm,৳ 59
Green Olives (Jolpai),500 gm,৳ 45
Australian Apple,1 kg,৳ 162
