Product Name,Quantity,Price
Broiler Chicken Skin Off (Net Weight ± 50 gm),1 kg,৳ 219
Cock Chicken Skin Off (Net Weight  ± 30 gm),500 gm,৳ 229
Bengal Meat Beef Bone In (Net Weight ± 50 gm),1 kg,৳ 635
Chicken Boneless Breast (Net Weight ± 50 gm),1 kg,৳ 349
Broiler Chicken Skin On (Net Weight ± 50 gm),1 kg,৳ 209
Cow Liver,500 gm,৳ 299
Whole Deshi Chicken Skin Off (Net Weight ± 30 gm),550 gm,৳ 499
Bengal Meat Whole Chicken Curry Cut (Net Weight ± 50 gm),1 kg,৳ 315
Chicken Drumsticks Skin On (9-12 Pcs),1 kg,৳ 319
Bengal Meat Chicken Thigh Keema (Net Weight ± 50 gm),1 kg,৳ 425
Bengal Meat Mutton Bone in (Net Weight ± 50 gm),1 kg,৳ 940
Bengal Meat Beef Keema (Net Weight ± 50 gm),1 kg,৳ 880
