Product Name,Quantity,Price
Onion Red (Imported),1 kg,৳ 89
Potato Regular (Net Weight ± 50 gm),1 kg,৳ 49
Onion Yellow (Imported),1 kg,৳ 69
Onion (Local),1 kg,৳ 89
Garlic Imported (Net Weight ± 10 gm),500 gm,৳ 55
Big Potato (Net Weight ± 50 gm),1 kg,৳ 50
Ginger Imported (Net Weight ± 10 gm),500 gm,৳ 159
Red Tomato (Net Weight ± 10 gm),500 gm,৳ 59
Green Chili,250 gm,৳ 49
Potol,500 gm,৳ 35
Long Lemon,4 pcs,৳ 25
Carrot (Net Weight ± 20 gm),500 gm,৳ 35
Coriander Leaves,100 gm,৳ 19
Ladies Finger,500 gm,৳ 35
Red Spinach,1 bundle,৳ 15
Ginger Local (Net Weight ± 10 gm),500 gm,৳ 75
Deshi Cucumber (Net Weight ± 20 gm),500 gm,৳ 39
Green Papaya (Net Weight ± 50 gm),1.4 kg,৳ 49
Green Capsicum (Net Weight ± 20 gm),250 gm,৳ 85
Kagozi Lemon,4 pcs,৳ 25
Cucumber (Net Weight ± 20 gm),500 gm,৳ 35
Water Spinach,1 bundle,৳ 15
Snake Gourd (Net Weight ± 20 gm),500 gm,৳ 35
Kochur Mukhi,500 gm,৳ 29
Garlic Local (Net Weight ± 10 gm),500 gm,৳ 59
Sweet Pumpkin Slice (Net Weight ± 50 gm),800 gm,৳ 39
Long Bean,500 gm,৳ 45
Long Brinjal Black (Net Weight ± 20 gm),500 gm,৳ 39
Banana Green,4 pcs,৳ 36
Cabbage,each,৳ 45
Round Lemon,4 pcs,৳ 39
Pui Spinach,1 bundle,৳ 35
Water Pumpkin,each,৳ 49
Bitter Gourd (Local) (Net Weight ± 20 gm),500 gm,৳ 45
Bitter Gourd (Net Weight ± 20 gm),500 gm,৳ 39
Data Shak,1 bundle,৳ 19
Gourd,each,৳ 59
Sweet Bitter Gourd (Net Weight ± 20 gm),500 gm,৳ 45
Stolon Of Taro (Kochur Loti),500 gm,৳ 29
Round Brinjals Black (Net Weight ± 50 gm),700 gm,৳ 79
Ridge Gourd B-Grade (Net Weight ± 20 gm),500 gm,৳ 39
Sponge Gourd,500 gm,৳ 39
Round Brinjals Green (Net Weight ± 50 gm),700 gm,৳ 55
Sweet Pumpkin,each,৳ 89
Aloe Vera,each,৳ 29
Beetroot (Net Weight ± 20 gm),500 gm,৳ 119
Mint Leaves,100 gm,৳ 39
Pennywort (Thankuni) Leaves,1 bundle,৳ 9
Jute Spinach,1 bundle,৳ 15
Radish,500 gm,৳ 35
